iter	Passed	Remaining
402	12991	19245
403	13021	19210
404	13052	19176
405	13081	19139
406	13113	19106
407	13142	19069
408	13174	19036
409	13204	19002
410	13237	18969
411	13271	18941
412	13305	18911
413	13344	18889
414	13384	18866
415	13420	18840
416	13456	18813
417	13493	18787
418	13524	18753
419	13556	18721
420	13588	18687
421	13619	18654
422	13652	18623
423	13682	18587
424	13713	18553
425	13745	18521
426	13775	18486
427	13805	18450
428	13835	18415
429	13866	18381
430	13900	18350
431	13934	18321
432	13970	18293
433	14002	18261
434	14035	18229
435	14067	18197
436	14097	18162
437	14128	18128
438	14159	18095
439	14189	18059
440	14222	18027
441	14254	17995
442	14284	17959
443	14314	17925
444	14345	17891
445	14375	17856
446	14404	17820
447	14435	17786
448	14468	17755
449	14499	17722
450	14530	17687
451	14562	17656
452	14592	17620
453	14623	17587
454	14661	17561
455	14695	17530
456	14725	17497
457	14757	17464
458	14789	17431
459	14818	17395
460	14849	17362
461	14882	17330
462	14915	17299
463	14947	17266
464	14976	17231
465	15008	17198
466	15039	17164
467	15072	17133
468	15104	17101
469	15136	17068
470	15166	17034
471	15197	17000
472	15229	16968
473	15260	16934
474	15292	16902
475	15324	16869
476	15356	16837
477	15388	16804
478	15419	16771
479	15450	16738
480	15481	16704
481	15513	16671
482	15546	16640
483	15579	16609
484	15608	16574
485	15640	16542
486	15672	16508
487	15702	16474
488	15734	16441
489	15765	16408
490	15797	16376
491	15827	16342
492	15859	16310
493	15890	16276
494	15922	16244
495	15955	16212
496	15986	16179
497	16019	16147
498	16051	16115
499	16081	16081
500	16112	16048
501	16144	16016
502	16176	15983
503	16208	15950
504	16239	15917
505	16272	15886
506	16303	15853
507	16334	15819
508	16364	15785
509	16394	15751
510	16426	15719
511	16459	15687
512	16494	15658
513	16529	15628
514	16564	15599
515	16601	15571
516	16638	15544
517	16673	15515
518	16710	15486
519	16748	15459
520	16782	15429
521	16819	15401
522	16853	15370
523	16885	15338
524	16916	15305
525	16947	15271
526	16978	15238
527	17011	15206
528	17041	15173
529	17072	15139
530	17105	15107
531	17141	15079
532	17177	15050
533	17209	15018
534	17243	14987
535	17278	14957
536	17314	14928
537	17345	14895
538	17376	14861
539	17408	14829
540	17438	14795
541	17469	14761
542	17501	14730
543	17533	14697
544	17564	14663
545	17595	14630
546	17627	14598
547	17658	14564
548	17689	14531
549	17721	14499
550	17755	14468
551	17785	14434
552	17816	14401
553	17847	14368
554	17878	14335
555	17909	14301
556	17939	14268
557	17973	14237
558	18007	14206
559	18038	14173
560	18070	14140
561	18102	14108
562	18134	14076
563	18167	14044
564	18200	14012
565	18235	13982
566	18269	13951
567	18303	13921
568	18339	13891
569	18373	13860
570	18406	13829
571	18438	13796
572	18469	13763
573	18501	13731
574	18532	13697
575	18564	13665
576	18594	13631
577	18627	13599
578	18658	13566
579	18689	13534
580	18720	13500
581	18749	13466
582	18779	13432
583	18810	13398
584	18842	13367
585	18873	13333
586	18907	13302
587	18938	13269
588	18968	13236
589	18998	13202
590	19033	13171
591	19064	13138
592	19095	13105
593	19126	13073
594	19156	13039
595	19187	13005
596	19217	12972
597	19248	12939
598	19281	12908
599	19315	12876
600	19348	12845
601	19381	12814
602	19413	12781
603	19444	12748
604	19481	12719
605	19516	12689
606	19551	12658
607	19586	12627
608	19622	12598
609	19658	12568
610	19690	12535
611	19722	12503
612	19753	12470
613	19784	12437
614	19816	12405
615	19847	12372
616	19877	12338
617	19909	12306
618	19943	12275
619	19980	12246
620	20018	12217
621	20058	12190
622	20128	12180
623	20164	12150
624	20197	12118
625	20229	12085
626	20259	12052
