iter	RMSE
220	6.22389374
221	6.222492444
222	6.221205172
223	6.220317865
224	6.219228381
225	6.21827881
226	6.217640797
227	6.216745119
228	6.215712072
229	6.21504753
230	6.214286184
231	6.213173408
232	6.212063315
233	6.210873189
234	6.20957329
235	6.208286913
236	6.207144086
237	6.205863558
238	6.204844846
239	6.202903478
240	6.202280201
241	6.201301542
242	6.20062329
243	6.199744191
244	6.198651903
245	6.197288084
246	6.196128698
247	6.194733555
248	6.193973692
249	6.193110466
250	6.192115366
251	6.191269405
252	6.190635464
253	6.189537264
254	6.188447251
255	6.187379442
256	6.185840009
257	6.185135087
258	6.183845261
259	6.18297407
260	6.18239456
261	6.181475521
262	6.180489666
263	6.179207339
264	6.17830465
265	6.177456907
266	6.17659432
267	6.175740029
268	6.174842828
269	6.174262716
270	6.173499439
271	6.172808724
272	6.172325253
273	6.171822713
274	6.170584449
275	6.169787589
276	6.169009789
277	6.167911196
278	6.167030637
279	6.166361293
280	6.165770534
281	6.164655172
282	6.163695723
283	6.163028468
284	6.162088307
285	6.160797146
286	6.160081152
287	6.159298822
288	6.158691318
289	6.157797002
290	6.157026967
291	6.156317207
292	6.155647462
293	6.154991667
294	6.154210867
295	6.153596848
296	6.152982233
297	6.15226726
298	6.150692075
299	6.150042117
300	6.148813229
301	6.147615588
302	6.146837798
303	6.145911815
304	6.145323508
305	6.144570466
306	6.144092686
307	6.143187631
308	6.142403708
309	6.141551104
310	6.140864621
311	6.140076911
312	6.139532673
313	6.138738003
314	6.137702619
315	6.136661313
316	6.13595481
317	6.135266573
318	6.134723685
319	6.1340903
320	6.133111487
321	6.132188398
322	6.130509554
323	6.129487166
324	6.127643373
325	6.126569026
326	6.126071913
327	6.125304419
328	6.124655197
329	6.12390987
330	6.123306828
331	6.122720284
332	6.122134041
333	6.121423092
334	6.120813229
335	6.120196774
336	6.119559022
337	6.118872869
338	6.118224049
339	6.117613464
340	6.117082954
341	6.116542963
342	6.116065075
343	6.115390221
344	6.114806257
345	6.114233961
346	6.113372256
347	6.112288192
348	6.111247965
349	6.110520752
350	6.109656007
351	6.10872098
352	6.108013709
353	6.107558342
354	6.106944541
355	6.106159375
356	6.105702588
357	6.105232898
358	6.104356487
359	6.103549788
360	6.102836138
361	6.102220345
362	6.101253955
363	6.100477554
364	6.099970615
365	6.0992463
366	6.098557873
367	6.097990137
368	6.097120665
369	6.096245665
370	6.095750972
371	6.094714987
372	6.094084499
373	6.093688088
374	6.092337748
375	6.091919933
376	6.090690819
377	6.090118685
378	6.089499069
379	6.088579051
380	6.087920691
381	6.087548575
382	6.086934861
383	6.086382464
384	6.085701648
385	6.085147581
386	6.084649237
387	6.084171034
388	6.082426767
389	6.08196407
390	6.081387226
391	6.080776112
392	6.080276635
393	6.07985406
394	6.079146039
395	6.078493454
396	6.077569509
397	6.076681052
398	6.076066659
399	6.075599818
400	6.075062966
401	6.074338656
402	6.073819802
403	6.073232114
404	6.072790448
405	6.072084102
406	6.071550325
407	6.071201645
408	6.06988
409	6.069366398
410	6.068490721
411	6.067843351
412	6.067509846
413	6.066883003
414	6.066417764
415	6.065914453
416	6.065293178
417	6.064830022
418	6.064348885
419	6.063865922
420	6.063113927
421	6.06104154
422	6.060569081
423	6.059819344
424	6.05914091
425	6.058678947
426	6.05799583
427	6.057522605
428	6.057132482
429	6.056650233
430	6.055970785
431	6.055544602
432	6.054976687
433	6.054184462
434	6.053686571
435	6.052698086
436	6.052293322
437	6.05132313
438	6.050895773
439	6.050316159
440	6.049705009
441	6.049230037
442	6.048711398
443	6.048332558
444	6.047750175
445	6.047200288
446	6.046649113
447	6.046310739
448	6.045707851
449	6.045108169
450	6.044245463
451	6.04346068
452	6.042918993
453	6.042388264
454	6.041831166
455	6.041111291
456	6.040608279
457	6.040039646
458	6.039568639
459	6.038971217
460	6.038553101
461	6.038089658
462	6.037289701
463	6.036859416
464	6.036446656
465	6.035056039
466	6.034692802
467	6.034080447
468	6.03367642
469	6.033001433
470	6.032416413
471	6.031674396
472	6.031172175
473	6.029999293
474	6.029538658
475	6.029075134
476	6.028500324
477	6.028040176
478	6.026832428
479	6.026357705
480	6.025656238
481	6.024698073
482	6.024010288
483	6.023533245
484	6.023101395
485	6.022375813
486	6.021971204
487	6.021627377
488	6.020777754
489	6.020347188
490	6.018159546
491	6.017708366
492	6.017187115
493	6.016737031
494	6.016413511
495	6.015873656
496	6.015168419
497	6.014745055
498	6.014146716
499	6.013735961
500	6.013297407
501	6.012672511
502	6.012139647
503	6.011513815
504	6.010769061
505	6.010264273
506	6.009853073
507	6.009428595
508	6.009030595
509	6.008326134
510	6.007908118
511	6.007523713
512	6.006971527
513	6.006690203
514	6.006318668
515	6.005691983
516	6.005337667
517	6.004151035
518	6.003619044
519	6.003168786
520	6.00276441
521	6.001259523
522	6.000870497
523	6.000436081
524	6.000069816
525	5.999491208
526	5.999125807
527	5.998708035
528	5.998172421
529	5.997602592
530	5.997236413
531	5.996748151
532	5.99629852
533	5.995985022
534	5.995601142
535	5.995103721
536	5.994167139
537	5.993724753
538	5.9931335
539	5.992447974
540	5.992108203
541	5.991816051
542	5.991317494
543	5.990522336
544	5.990054847
545	5.989456581
546	5.989041466
547	5.988589779
548	5.988283568
549	5.98776004
550	5.987299532
551	5.986748088
552	5.98591272
553	5.984851505
554	5.984330696
555	5.983943294
556	5.983528144
557	5.983125509
558	5.982654339
559	5.982231598
560	5.981934095
561	5.981209843
562	5.980825164
563	5.98044727
564	5.980095958
565	5.979654088
566	5.979305058
567	5.978893016
568	5.978587508
569	5.978190074
570	5.977290525
571	5.976999176
572	5.976499959
573	5.97544934
574	5.975127085
575	5.974524459
576	5.973855157
577	5.973412804
578	5.972913991
579	5.972592213
580	5.971750901
581	5.971150522
582	5.970188348
583	5.969899844
584	5.969444597
585	5.969078391
586	5.968369647
587	5.968027683
588	5.967414055
589	5.966850544
590	5.966386546
591	5.966090537
592	5.965689946
593	5.965363121
594	5.96513111
595	5.964851122
596	5.964557208
597	5.964163651
598	5.963841868
599	5.963447973
600	5.963075477
601	5.962661217
602	5.962284592
603	5.961995124
604	5.961674521
605	5.961397134
606	5.961069476
607	5.960640199
608	5.96020678
609	5.959816789
610	5.959458392
611	5.959082796
612	5.958666939
613	5.958062864
614	5.957542028
615	5.957209499
616	5.956859461
617	5.956608654
618	5.95634313
619	5.956026349
620	5.95566472
621	5.954811616
622	5.954481179
623	5.953980346
624	5.95361088
625	5.953313429
626	5.952990306
627	5.952545558
628	5.952254163
629	5.951812514
630	5.951448607
631	5.951085651
632	5.950764396
633	5.950409217
634	5.950088627
635	5.949716937
636	5.949306318
637	5.948765325
638	5.948144893
639	5.947898618
640	5.947500471
641	5.947126322
642	5.94599163
643	5.945673063
644	5.945404671
645	5.944970783
646	5.94457795
647	5.944118291
648	5.943602066
649	5.943211128
650	5.942798124
651	5.942544982
652	5.942235585
653	5.941965979
654	5.941384148
655	5.941101773
656	5.940761907
657	5.940496744
658	5.940104313
659	5.939557081
660	5.939093554
661	5.938730627
662	5.93835036
663	5.938026327
664	5.937721262
665	5.9373093
666	5.937001128
667	5.936389798
668	5.936032216
669	5.935726532
670	5.935266086
671	5.934948507
672	5.934528639
673	5.934131986
674	5.933898141
675	5.933615361
676	5.93332895
677	5.932459971
678	5.93200867
679	5.931396359
680	5.931084166
681	5.930854968
682	5.930372757
683	5.930051178
684	5.929693852
685	5.929444171
686	5.929178726
687	5.928712974
688	5.928356613
689	5.928073385
690	5.927606094
691	5.927269591
692	5.926864398
693	5.926587991
694	5.926169489
695	5.925862965
696	5.925448794
697	5.925246918
698	5.925003431
699	5.924611102
700	5.924344228
701	5.924056111
702	5.92371892
703	5.923399814
704	5.923031605
705	5.922762617
706	5.922533013
707	5.922275794
708	5.922025762
709	5.921751597
710	5.921462453
711	5.920960844
712	5.920675942
713	5.920421778
714	5.920153939
715	5.91975104
716	5.919001346
717	5.918525291
718	5.918165249
719	5.917861402
720	5.917413606
721	5.917106116
722	5.916770653
723	5.916484756
724	5.916073548
725	5.915766699
726	5.915446299
727	5.914819846
728	5.914490211
729	5.914241653
730	5.914080979
731	5.913850747
732	5.913494268
733	5.913177171
734	5.912807687
735	5.912508122
736	5.912175323
737	5.911898983
738	5.911504443
739	5.911247498
740	5.910856531
741	5.910619345
742	5.910209651
743	5.909958268
744	5.909793079
745	5.909517621
746	5.908967056
747	5.908536139
748	5.908331566
749	5.908044615
750	5.907715724
751	5.907423417
752	5.907057132
753	5.90681436
754	5.906450973
755	5.906038953
756	5.905758144
757	5.904747059
758	5.904412595
759	5.904083404
760	5.903569008
761	5.903291545
762	5.902616502
763	5.902321204
764	5.902047453
765	5.901721904
766	5.901364968
767	5.900779314
768	5.900550465
769	5.900378722
770	5.900129616
771	5.89990817
772	5.899612707
773	5.899373994
774	5.899054751
775	5.898835347
776	5.898534656
777	5.898321111
778	5.898044081
779	5.897596051
780	5.897355526
781	5.897078222
782	5.896356664
783	5.896119279
784	5.895692688
785	5.895327114
786	5.894930181
787	5.894626333
788	5.894306317
789	5.894012548
790	5.893696062
791	5.893401962
792	5.893094816
793	5.892757515
794	5.892398512
795	5.892199484
796	5.891940618
797	5.891661942
798	5.891158607
799	5.890959232
800	5.890569348
801	5.890361673
802	5.89015307
803	5.889914939
804	5.889603837
805	5.889233147
806	5.888984374
807	5.888625223
808	5.888293454
809	5.888089799
810	5.887838339
811	5.887621473
812	5.887360962
813	5.887142731
814	5.886879363
815	5.886672937
816	5.886439665
817	5.886171281
818	5.885894893
819	5.884932808
820	5.884647614
821	5.884116852
822	5.883917088
823	5.883659922
824	5.883432804
825	5.883198874
826	5.883001317
827	5.882762766
828	5.882346394
829	5.882109109
830	5.881895363
831	5.881491329
832	5.881251499
833	5.880926495
834	5.880547132
835	5.880283455
836	5.879439107
837	5.87926428
838	5.879066826
839	5.878848719
840	5.878518159
841	5.878345332
842	5.878076949
843	5.877822469
844	5.877595499
845	5.877439917
846	5.877155206
847	5.876781757
848	5.876497839
849	5.876250982
850	5.876048715
851	5.875477469
852	5.875328111
853	5.874995215
854	5.874741142
855	5.874237656
856	5.874061789
857	5.873726691
858	5.873462493
859	5.873225842
860	5.873012733
861	5.872777181
862	5.872589015
863	5.87224442
864	5.872005348
865	5.871790331
866	5.871650723
867	5.871471513
868	5.870895373
869	5.870602862
870	5.870314758
871	5.870098812
872	5.869891153
873	5.869642026
874	5.869353649
875	5.868974235
876	5.868787577
877	5.868536657
878	5.868270307
879	5.868047091
880	5.867818553
881	5.867532877
882	5.867217155
883	5.866940366
884	5.866751649
885	5.866481202
886	5.86620743
887	5.865874862
888	5.865602241
889	5.865323563
890	5.865081625
891	5.864864634
892	5.864183135
893	5.863876151
894	5.863608248
895	5.863425281
896	5.863123002
897	5.862880434
898	5.862307173
899	5.862059923
900	5.861845688
901	5.861651054
902	5.861431767
903	5.861146171
904	5.860963318
905	5.860709515
906	5.86039206
907	5.860134472
908	5.859951265
909	5.859783254
910	5.859594016
911	5.859373716
912	5.859060345
913	5.858816674
914	5.85859571
915	5.858147797
916	5.857975619
917	5.857793583
918	5.857536572
919	5.857278657
920	5.857105609
921	5.856956933
922	5.85675882
923	5.856562513
924	5.856385693
925	5.856117982
926	5.855888073
927	5.855508897
928	5.855220312
929	5.854946624
930	5.854691524
931	5.854311538
932	5.854147497
933	5.853812517
934	5.853547575
935	5.853159257
936	5.853013514
937	5.852864739
938	5.852509549
939	5.852202836
940	5.851914339
941	5.851678581
942	5.851475121
943	5.851234815
944	5.851030145
945	5.850830991
946	5.850619394
947	5.850385131
948	5.850127365
949	5.849905538
950	5.849547953
951	5.849272276
952	5.849081241
953	5.848906378
954	5.848612782
955	5.848449166
956	5.848219697
957	5.847946633
958	5.847744953
959	5.846764698
960	5.846585865
961	5.8464066
962	5.846069376
963	5.845403053
964	5.844896516
965	5.844698856
966	5.844484612
967	5.844283514
968	5.844026028
969	5.843750433
970	5.843475986
971	5.843255972
972	5.84301706
973	5.842812994
974	5.842640602
975	5.842406236
976	5.842263545
977	5.842075816
978	5.841802262
979	5.841448856
980	5.841267188
981	5.841138656
982	5.840954537
983	5.840721079
984	5.840538008
985	5.840255531
986	5.840025477
987	5.839676891
988	5.83946709
989	5.839254863
990	5.838943965
991	5.838647512
992	5.838468311
993	5.838240879
994	5.838004586
995	5.837600027
996	5.837374812
997	5.837177853
998	5.836934377
999	5.836783103
